russian,proto_slavic,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,russian_alt,cf,loanwords
обовьё̠м,*abuwije̠mu,,,,,,,,,,,*abuwijemu̠,,,,,,,,,,,,*obuwijemu̠,,,,*obъwьjemъ̠,,,,*obъwʼьjemъ̠,,,*obъ2wʼь1jemъ̠1,,*obъ2wʼь1je̠mъ1,,,,,,,,,,,,*obъ2wʼje̠m,,,,*obowʼje̠m,,,*obovʼje̠m,,,,*obovʼjo̠m,,,,,,,,ʌbʌvʼjo̠m,,,,,ʌbʌvʼjo̠m,vgl. обвить,
обопьё̠м,*abupije̠mu,,,,,,,,,,,*abupijemu̠,,,,,,,,,,,,*obupijemu̠,,,,*obъpьjemъ̠,,,,*obъpʼьjemъ̠,,,*obъ2pʼь1jemъ̠1,,*obъ2pʼь1je̠mъ1,,,,,,,,,,,,*obъ2pʼje̠m,,,,*obopʼje̠m,,,,,,,*obopʼjo̠m,,,,,,,,ʌbʌpʼjo̠m,,,,,ʌbʌpʼjo̠m,vgl. опu̠ть,
обрe̠ю,*abubrī̠˙jān,,,,,,,,,,,,,,,*abubrī̠˙jan,,,,,,,,*obubrī̠˙jon,,*obubrī̠˙jǭ,,*obъbrī̠˙jǭ,*obъbrī̠˙jǫ,,,*obъbr’ī̠˙jǫ,*obъbr’ī̠˙jọ,,*obъ1br’ī̠˙jọ,,,*obъ1br’ī̠jọ,*obъ1br’ī̠ju,,*obъ1br’ь̠2ju,,,,,,,,*obbr’ь̠2ju,,*obr’ь̠2ju,,*obr’e̠ju,,,,,,,,,,,,,,,ʌbr’e̠ju,,,,,ʌbr’e̠ju,vgl. обрu̠ть,
обрu̠ть (1),*abubre̠j˙tēj,,,*abubrẹ̠̄˙tẹ̄,,,*abubrī̠˙tī,,,,,,,,,,,,,,,,,*obubrī̠˙tī,,,,*obъbrī̠˙tī,*obъbrī̠˙ti,,,*obъbrʼī̠˙tʼi,,,*obъ1brʼī̠˙tʼi,,,*obъ1brʼī̠tʼi,,,,,,,,,,,*obbrʼī̠tʼi,,*obrʼī̠tʼi,,,,,,,,,,,,,,,*obrʼi̠tʼ,,ʌbrʼi̠tʼ,,,,,ʌbrʼi̠tʼ,vgl. обрe̠ю,
обрu̠ть (2),*abubrī̠˙tēj,,,*abubrī̠˙tẹ̄,,,*abubrī̠˙tī,,,,,,,,,,,,,,,,,*obubrī̠˙tī,,,,*obъbrī̠˙tī,*obъbrī̠˙ti,,,*obъbrʼī̠˙tʼi,,,*obъ1brʼī̠˙tʼi,,,*obъ1brʼī̠tʼi,,,,,,,,,,,*obbrʼī̠tʼi,,*obrʼī̠tʼi,,,,,,,,,,,,,,,*obrʼi̠tʼ,,ʌbrʼi̠tʼ,,,,,ʌbrʼi̠tʼ,vgl. обрe̠ю,
овe̠ц,*awi̠ku,*awi̠tˊu,*awi̠tˊi,,,,,,,,,*awitˊi̠,,*awicʼi̠,,,,,,,,,,*owicʼi̠,,,,*owьcʼь̠,,,,*owʼьcʼь̠,,,*owʼь2cʼь̠1,,*owʼь̠2cʼь1,,,,,,,,,,,,*owʼь̠2cʼ,,,,*owʼe̠cʼ,,,*ovʼe̠cʼ,,,,,*ovʼe̠c,,,,,,,ʌvʼe̠c,,,,,ʌvʼe̠c,vgl. овцa̠,
овцa̠,*awi̠kā˙,*awi̠tˊā˙,*awi̠tˊē˙,*awi̠tˊā˙,,,,,,,,*awitˊā̠˙,,*awicʼā̠˙,,,,,,,,,,*owicʼā̠˙,,,,*owьcʼā̠˙,*owьcʼa̠,,,*owʼьcʼa̠,,,*owʼь1cʼa̠,,,,,,,,,,,,,,*owʼcʼa̠,,,,,,,*ovʼcʼa̠,*ofʼcʼa̠,,,,*ofʼca̠,*ofca̠,,,,,,ʌfca̠,,,,,ʌfca̠,vgl. овe̠ц,
огo̠нь,*a̠gńi,,,,,,,,,,,*agńi̠,,,,,,,,,,,,*ogńi̠,,,,*ogńь̠,,,*ogъńь̠,,,,*ogъ2ńь̠1,,*ogъ̠2ńь1,,,,,,,,,,,,*ogъ̠2ń,,,*ogъ̠2nʼ,*ogo̠nʼ,,,,,,,,,,,,,,,ʌgo̠nʼ,,,,,ʌgo̠nʼ,,
огорo̠д,*a̠gardu,,,,,,,,,,,*aga̠rdu,,,,,,,,,,,*agara̠du,*ogoro̠du,,,,*ogoro̠dъ,,,,,,,*ogoro̠dъ1,,,,,,,,,,*ogorô̠dъ1,,,,*ogorô̠d,,,,,,,,*ogorô̠t,,,,,,,,,,,*ʌgʌrô̠t,,,,ʌgʌro̠t,ʌgʌro̠t,,
одu̠н,*edī̠˙nu,,,,,,,,,,,,,,,,,,,,,,,,*jedī̠˙nu,,,*jedī̠˙nъ,,,,*jedʼī̠˙nъ,,,*jedʼī̠˙nъ1,,,*jedʼī̠nъ1,,,,,,,,*odʼī̠nъ1,,,*odʼī̠n,,,,,,,,,,,,,,,,,*odʼi̠n,,ʌdʼi̠n,,,,,ʌdʼi̠n,,
ожu̠на,*ezjī̠˙nā,,,,,,,,,,,,*ezjī̠˙nā,,,,,,*ežjī̠˙nā,,,,,,*ježjī̠˙nā,,,,*ježjī̠˙na,*ježī̠˙na,,,,,,,,*ježī̠na,,,,,,,,*ožī̠na,,,,,,,,,,,,*ożī̠na,,,,,*ożȳ̠na,,,*oży̠na,,ʌży̠nə,,,,,ʌży̠nə,,
o̠зeро,*ezera,,,,,,,,,,,,,,,,,,,,,,,*ezero,*jezero,,,,,,,*jezʼero,,,,,,,,,,,,,,*ozʼero,,,,,,,,*o̠zʼero,,,,,,,,,,,,,,o̠zʼɪrə,,,,,o̠zʼɪrə,,
олe̠нь,*e̠leni,,,,,,,,,,,*ele̠ni,,,,,,,,,,,,,*jele̠ni,,,*jele̠nь,,,,*jelʼe̠nʼь,,,*jelʼe̠nʼь1,,,,,,,,,,,*olʼe̠nʼь1,,,*olʼe̠nʼ,,,,,,,,,,,,,,,,,,,ʌlʼe̠nʼ,,,,,ʌlʼe̠nʼ,,
опu̠ть,*abupī̠˙tēj,,,*abupī̠˙tẹ̄,,,*abupī̠˙tī,,,,,,,,,,,,,,,,,*obupī̠˙tī,,,,*obъpī̠˙tī,*obъpī̠˙ti,,,*obъpʼī̠˙tʼi,,,*obъ1pʼī̠˙tʼi,,,*obъ1pʼī̠tʼi,,,,,,,,,,,*obpʼī̠tʼi,,*opʼī̠tʼi,,,,,,,,,,,,,,,*opʼi̠tʼ,,ʌpʼi̠tʼ,,,,,ʌpʼi̠tʼ,vgl. обопьё̠м,
орё̠м,*arje̠mu,,,,,,,,,,,*arjemu̠,,,,,,,*arʼjemu̠,,,,,*orʼjemu̠,,,,*orʼjemъ̠,,*orʼemъ̠,,,,,*orʼemъ̠1,,*orʼe̠mъ1,,,,,,,,,,,,*orʼe̠m,,,,,,,,,,,*orʼo̠m,,,,,,,,ʌrʼo̠m,,,,,ʌrʼo̠m,vgl. орё̠шь,
орё̠шь,*arje̠šī,,,,,,,,,,,*arješī̠,,,,,,,*arʼješī̠,,,,,*orʼješī̠,,,,,*orʼješi̠,*orʼeši̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,*orʼe̠ṡ,,*orʼo̠ṡ,,,,,,,,ʌrʼo̠ṡ,,,,,ʌrʼo̠ṡ,vgl. орё̠м,
o̠сень,*eseni,,,,,,,,,,,,,,,,,,,,,,,,*jeseni,,,*jesenь,,,,*jesʼenʼь,,,*jesʼenʼь1,,,,,,,,,,,*osʼenʼь1,,,*osʼenʼ,,,,,*o̠sʼenʼ,,,,,,,,,,,,,,o̠sʼɪnʼ,,,,,o̠sʼɪnʼ,,
осё̠тр,*ese̠tru,,,,,,,,,,,*esetru̠,,,,,,,,,,,,,*jesetru̠,,,*jesetrъ̠,,,*jesetьrъ̠,*jesʼetrъ̠,,,*jesʼetrъ̠1,,*jesʼe̠trъ1,,,,,,,,,*osʼe̠trъ1,,,*osʼe̠tr,,,,,,,,,,,*osʼo̠tr,,,,,,,,ʌsʼo̠tr,,,,,ʌsʼo̠tr,vgl. острa̠,
остё̠р,*a̠stru,,,,,,,,,,,*astru̠,,,,,,,,,,,,*ostru̠,,,,*ostrъ̠,,,*ostьrъ̠,*ostʼьrъ̠,,,*ostʼь2rъ̠1,,*ostʼь̠2rъ1,,,,,,,,,,,,*ostʼь̠2r,,,,*ostʼe̠r,,,,,,,*ostʼo̠r,,*osʼtʼo̠r,,,,,,ʌsʼtʼo̠r,,,,,ʌsʼtʼo̠r,,
острa̠,*a̠strā˙,,,,,,,,,,,*astrā̠˙,,,,,,,,,,,,*ostrā̠˙,,,,,*ostra̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʌstra̠,,,,,ʌstra̠,vgl. остё̠р,
отe̠ц,*ati̠ku,*ati̠tˊu,*ati̠tˊi,,,,,,,,,*atitˊi̠,,*aticʼi̠,,,,,,,,,,*oticʼi̠,,,,*otьcʼь̠,,,,*otʼьcʼь̠,,,*otʼь2cʼь̠1,,*otʼь̠2cʼь1,,,,,,,,,,,,*otʼь̠2cʼ,,,,*otʼe̠cʼ,,,,,,,,*otʼe̠c,,,,,,,ʌtʼe̠c,,,,,ʌtʼe̠c,"vgl. отцa̠, вo̠тчина",
отлu̠ть,*atulī̠˙tēj,,,*atulī̠˙tẹ̄,,,*atulī̠˙tī,,,,,,,,,,,,,,,,,*otulī̠˙tī,,,,*otъlī̠˙tī,*otъlī̠˙ti,,,*otъlʼī̠˙tʼi,,,*otъ1lʼī̠˙tʼi,,,*otъ1lʼī̠tʼi,,,,,,,,,,,*otlʼī̠tʼi,,,,,,,,,,,,,,,,,*otlʼi̠tʼ,,ʌtlʼi̠tʼ,,,,,ʌtlʼi̠tʼ,vgl. отoльё̠м,
отoльё̠м,*atulije̠mu,,,,,,,,,,,*atulijemu̠,,,,,,,,,,,,*otulijemu̠,,,,*otъlьjemъ̠,,,,*otъlʼьjemъ̠,,,*otъ2lʼь1jemъ̠1,,*otъ2lʼь1je̠mъ1,,,,,,,,,,,,*otъ2lʼje̠m,,,,*otolʼje̠m,,,,,,,*otolʼjo̠m,,,,,,,,ʌtʌlʼjo̠m,,,,,ʌtʌlʼjo̠m,vgl. отлu̠ть,
отрo̠ю,*aturū̠˙jān,,,,,,,,,,,,,,,*aturū̠˙jan,,*aturȳ̠˙jan,,,,,,*oturȳ̠˙jon,,*oturȳ̠˙jǭ,,*otъrȳ̠˙jǭ,*otъrȳ̠˙jǫ,,,,*otъrȳ̠˙jọ,,*otъ1rȳ̠˙jọ,,,*otъ1rȳ̠jọ,*otъ1rȳ̠ju,,*otъ1rъ̠2ju,,,,,,,,*otrъ̠2ju,,,,*otro̠ju,,,,,,,,,,,,,,,ʌtro̠ju,,,,,ʌtro̠ju,vgl. отры̠ть,
отры̠ть,*aturū̠˙tēj,,,*aturū̠˙tẹ̄,,,*aturū̠˙tī,,,,,,,,,,,*aturȳ̠˙tī,,,,,,*oturȳ̠˙tī,,,,*otъrȳ̠˙tī,*otъrȳ̠˙ti,,,*otъrȳ̠˙tʼi,,,*otъ1rȳ̠˙tʼi,,,*otъ1rȳ̠tʼi,,,,,,,,,,,*otrȳ̠tʼi,,,,,,,,,,,,,,,,,*otry̠tʼ,,ʌtry̠tʼ,,,,,ʌtry̠tʼ,vgl. отрo̠ю,
отцa̠,*ati̠kā,*ati̠tˊā,*ati̠tˊē,*ati̠tˊā,,,,,,,,*atitˊā̠,,*aticʼā̠,,,,,,,,,,*oticʼā̠,,,,*otьcʼā̠,*otьcʼa̠,,,*otʼьcʼa̠,,,*otʼь1cʼa̠,,,,,,,,,,,,,,*otʼcʼa̠,,,,,,,,,,,,*otʼca̠,*otca̠,,,,,,ʌtca̠,,,,,ʌtca̠,vgl. отe̠ц,
пa̠л,*pā̠˙dlu,,,,,,,,,,,,,,,,,,,,*pā̠˙lu,,,,,,,*pā̠˙lъ,,,,,,,*pā̠˙lъ1,,,*pā̠lъ1,,,,,,,,,,,*pā̠l,,,,,,,,,,,,,,,,,pa̠l,,,,,,,pa̠l,,
пa̠льцы,*pā̠˙likuj,*pā̠˙litˊuj,*pā̠˙litˊij,*pā̠˙litˊī,,,,,,,,,,*pā̠˙licʼī,,,,,,,,,,,,,,*pā̠˙lьcʼī,*pā̠˙lьcʼi,,,*pā̠˙lʼьcʼi,,,*pā̠˙lʼь1cʼi,,,pā̠lʼь1cʼi,,,,,,,,,,,*pā̠lʼcʼi,,,,,,,,,,,,*pā̠lʼci,,*pā̠lʼcy,,,pa̠lʼcy,,,,,,,pa̠lʼcy,,
пa̠мятен,*pā̠˙mintinu,,,,,,,,,,,,,,,,,,,,,,,,,*pā̠˙mę̄tinu,,*pā̠˙mę̄tьnъ,,,,*pā̠˙mʼę̄tʼьnъ,*pā̠˙mʼātʼьnъ,,*pā̠˙mʼātʼь2nъ1,,,*pā̠mʼātʼь2nъ1,,,,,,,,,,,*pā̠mʼātʼь2n,,,,*pā̠mʼātʼen,,,,,,,,,,,,,*pa̠mʼatʼen,,pa̠mʼɪtʼɪn,,,,,pa̠mʼɪtʼɪn,,
перo̠,*pe̠ra,,,,,,,,,,,*pera̠,,,,,,,,,,,,*pero̠,,,,,,,,*pʼero̠,,,,,,,,,,,,,*pʼerô̠,,,,,,,,,,,,,,,,,,,,,,,*pʼɪrô̠,,,,pʼɪro̠,pʼɪro̠,,
Перy̠н,*Pera̠wnu,,,*Perọ̠̄nu,,,,,,,,*Perọ̄nu̠,,,,,,,,,,,,,,,,*Perọ̄nъ̠,,,,*Pʼerọ̄nъ̠,,,*Pʼerọ̄nъ̠1,,*Pʼerọ̠̄nъ1,,*Pʼerū̠nъ1,,,,,,,,,,*Pʼerū̠n,,,,,,,,,,,,,,,,,*Pʼeru̠n,,Pʼɪru̠n,,,,,Pʼɪru̠n,vgl. Перунa̠,
Перунa̠,*Pera̠wnā,,,*Perọ̠̄nā,,,,,,,,*Perọ̄nā̠,,,,,,,,,,,,,,,,,*Perọ̄na̠,,,*Pʼerọ̄na̠,,,,,,,*Pʼerūna̠,,,,,,,,,,,,,,,,,,,,,,,,,,,*Pʼeruna̠,,Pʼɪruna̠,,,,,Pʼɪruna̠,vgl. Перy̠н,
песo̠к,*pē˙su̠ku,,,,,,,,,,,*pē˙suku̠,*pēsuku̠,,,,,,,,,,,,,,*pě̄suku̠,*pě̄sъkъ̠,,,,*pʼě̄sъkъ̠,,,*pʼě̄sъ2kъ̠1,,*pʼě̄sъ̠2kъ1,,,,,,,,,,,,*pʼě̄sъ̠2k,,,,*pʼě̄so̠k,,,,,,,,,,,,,*pʼěso̠k,,pʼɪso̠k,,,,,pʼɪso̠k,,
пe̠чь,*pekti,,,,,,,,,,,,,,*pekˊtˊi,,*petˊi,,,,,*peči,,,,,,*pečь,,,,*pʼečь,,,*pʼečь1,,,,,,,,,,,,,,*pʼeč,,,,,pʼe̠č,,,,,,,,,,,,,,,,,,,pʼe̠č,,Nach § 21 entlehnt ist finn. pätsi.
пu̠шем,*pe̠jsjemu,,,*pẹ̠̄sjemu,,,*pī̠sjemu,,,,,*pīsje̠mu,,,,,,,*pīšje̠mu,,,,,,,,,*pīšje̠mъ,,*pīšē̠mъ,,*pʼīšē̠mъ,,,*pʼīšē̠mъ1,*pʼī̠šēmъ1,,,,,,,,,,,,,*pʼī̠šēm,,,,,,,,,*pʼī̠ṡēm,,,,,,,,*pʼi̠ṡem,,pʼi̠ṡəm,,,,,pʼi̠ṡəm,,
плё̠л,*plektlu,,,,,,,,,,,,,,,,*pletlu,,,,*plelu,,,,,,,*plelъ,,,,*plʼelъ,,,*plʼelъ1,,,,,,,,,,,,,,*plʼel,,,,,*plʼe̠l,,,,,,plʼo̠l,,,,,,,,,,,,,plʼo̠l,"vgl. плести̠, плo̠т",
плестu̠,*plestē̠j,,,*plestẹ̠̄,,,*plestī̠,,,,,,,,,,,,,,,,,,,,,,*plesti̠,,,*plʼestʼi̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plʼɪstʼi̠,,,,,plʼɪstʼi̠,"vgl. плё̠л, плo̠т",
плo̠т,*plaktu,,,,,,,,,,,,,,,,*platu,,,,,,,*plotu,,,,*plotъ,,,,,,,*plotъ1,,,,,,,,,,,,,,*plot,,,,,plo̠t,,,,,,,,,,,,,,,,,,,plo̠t,"vgl. плё̠л, плести̠",
пo̠ле,*palja,,*palje,,,,,,,,,,,,,,,,*palˊje,,,,,*polˊje,,,,,,*polˊe,,,,,,,,,,,,,,,,,,,,,,*polʼe,,*po̠lʼe,,,,,,,,,,,,,,po̠lʼɪ,,,,,po̠lʼɪ,vgl. поля̠,
пo̠лк,*pulku,,,,,,,,,,,,,,,,,,,,,,,,,,,*pъlkъ,,,,,,,*pъ2lkъ1,,,,,,,,,,,,,,*pъ2lk,,,,*polk,po̠lk,,,,,,,,,,,,,,,,,,,po̠lk,,
полотнo̠,*palti̠na,,,,,,,,,,,*paltina̠,,,,,,,,,,,*palatina̠,*polotino̠,,,,*polotьno̠,,,,*polotʼьno̠,,,*polotʼь1no̠,,,,,,,,,,*polotʼь1nô̠,,,,*polotʼnô̠,,,,,,,,,,,,,*polotnô̠,,,,,,*pəlʌtnô̠,,,,pəlʌtno̠,pəlʌtno̠,,"Vor § 22, § 23 und, falls kein Einschubvokal vorliegt, vor § 48 entlehnt ist finn. palttina."
полю̠блен,*palja̠wbjenu,,*palje̠wbjenu,*paljọ̠̄bjenu,,,,,*paljọ̠̄bljenu,,,*paljọ̄blje̠nu,,,,,,,*palˊjọ̄blˊje̠nu,,,,,*polˊjọ̄blˊje̠nu,,,,*polˊjọ̄blˊje̠nъ,,*polˊọ̄blˊē̠nъ,,,,,*polˊọ̄blˊē̠nъ1,*polˊọ̠̄blˊēnъ1,,,*polˊū̠blˊēnъ1,,,,,,,,,,*polˊū̠blˊēn,,,*polʼū̠blʼēn,,,,,,,,,,,,,,*polʼu̠blʼen,,pʌlʼu̠blʼɪn,,,,,pʌlʼu̠blʼɪn,vgl. влюблё̠н,
поля̠,*paljā̠˙,,*paljē̠˙,,*paljā̠˙,,,,,,,,,,,,,,*palˊjā̠˙,,,,,*polˊjā̠˙,,,,,*polˊja̠,*polˊā̠,,,,,,,,,,,,,,,,,,,,,,*polʼa̠,,,,,,,,,,,,,,,,pʌlʼa̠,,,,,pʌlʼa̠,vgl. пo̠ле,
порo̠жний,*pa̠rzdinjuju,,*pa̠rzdinjiji,,,,,,,,,*parzdi̠njiji,,,,,,,*parzdi̠ńjiji,,,,*parazdi̠ńjiji,*porozdi̠ńjiji,,,,*porozdь̠ńjьjь,,*porozdь̠ńьjь,,*porozdʼь̠ńьjь,,,*porozdʼь̠1ńь2jь1,,*poro̠zdʼь1ńь2jь1,,,,,,,,*porô̠zdʼь1ńь2jь1,,,,*porô̠zdʼńь2j,*porô̠ždžńь2j,*porô̠žńь2j,*porô̠žnʼь2j,*porô̠žnʼej,,,,,*porô̠żnʼej,,,,,,,,,,*pʌrô̠żnʼɪj,,,,pʌro̠żnʼɪj,pʌro̠żnʼɪj,,
порo̠ха,*pa̠r˙xā˙,,,,,,,,,,,,*pa̠r˙xā,,,,,,,,,,*para̠xā,*poro̠xā,,,,,*poro̠xa,,,,,,,,,,,,,,,,*porô̠xa,,,,,,,,,,,,,,,,,,,,,,,*pʌrô̠xə,,,,pʌro̠xə,pʌro̠xə,,Vor § 22 und § 23 entlehnt ist lüd. parh.
пo̠т,*paktu,,,,,,,,,,,,,,,,*patu,,,,,,,*potu,,,,potъ,,,,,,,*potъ1,,,,,,,,,,,,,,*pot,,,,,po̠t,,,,,,,,,,,,,,,,,,,po̠t,,
пo̠яс,*pajā˙su,,*pajē˙su,,*pajā˙su,,,,,,,,*pajāsu,,,,,,,,,,,*pojāsu,,,,*pojāsъ,,,,,,,*pojāsъ1,,,,,,,,,,,,,,*pojās,,,,,*po̠jās,,,,,,,,,,,,*po̠jas,,po̠jɪs,,,,,po̠jɪs,vgl. пояснo̠й,
пояснo̠й,*pajā˙sinu̠ju,,*pajē˙sinu̠ji,,pajā˙sinu̠ji,,,,,,,*pajā˙sinuji̠,*pajāsinuji̠,,,,,,,,,,,*pojāsinuji̠,,,,*pojāsьnъjь̠,,,,*pojāsʼьnъjь̠,,,*pojāsʼь1nъ2jь̠1,,*pojāsʼь1nъ̠2jь1,,,,,,,,,,,,*pojāsʼnъ̠2j,,,,*pojāsʼno̠j,,,,,,,,,*pojāsno̠j,,,,*pojasno̠j,,pəjɪsno̠j,,,,,pəjɪsno̠j,vgl. пo̠яс,
прo̠дал,*pradā˙lu,,,,,,,,,,,,*pradālu,,,,,,,,,,,*prodālu,,,,*prodālъ,,,,,,,*prodālъ1,,,,,,,,,,,,,,*prodāl,,,,,*pro̠dāl,,,,,,,,,,,,*pro̠dal,,pro̠dəl,,,,,pro̠dəl,"vgl. продалa̠, продался̠, прo̠дан, проданa̠ und ohne Präfix дa̠м",
продалa̠,*pradā˙lā̠˙,,,,,,,,,,,,*pradālā̠˙,,,,,,,,,,,*prodālā̠˙,,,,,*prodāla̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*prodala̠,,prədʌla̠,,,,,prədʌla̠,"vgl. прo̠дал, продался̠, прo̠дан, проданa̠ und ohne Präfix дa̠м",
продался̠,*pradā˙lu̠ sēn,,,,,,,,,,,*pradā˙lu sē̠n,*pradālu sē̠n,,,*pradālu se̠n,,,,,,,,*prodālu se̠n,,*prodālu sę̠̄,,*prodālъ sę̠̄,*prodālъ sę̠,,,*prodālъ sʼę̠,*prodālъ sʼa̠,,*prodālъ1 sʼa̠,,,,,,,,,,,,,,*prodāl sʼa̠,,,,,,,,,,,,,,,,,*prodal sʼa̠,,prədʌlsʼa̠,,,,,prədʌlsʼa̠,"vgl. прo̠дал, продалa̠, прo̠дан, проданa̠ und ohne Präfix дa̠м",
прo̠дан,*pradā˙nu,,,,,,,,,,,,*pradānu,,,,,,,,,,,*prodānu,,,,*prodānъ,,,,,,,*prodānъ1,,,,,,,,,,,,,,*prodān,,,,,*pro̠dān,,,,,,,,,,,,*pro̠dan,,pro̠dən,,,,,pro̠dən,"vgl. прo̠дал, продалa̠, продался̠, проданa̠ und ohne Präfix дa̠м",
проданa̠,*pradā˙nā̠˙,,,,,,,,,,,,*pradānā̠˙,,,,,,,,,,,*prodānā̠˙,,,,,*prodāna̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*prodana̠,,prədʌna̠,,,,,prədʌna̠,"vgl. прo̠дал, продалa̠, продался̠, прo̠дан und ohne Präfix дa̠м",
прo̠сят (1),*pra̠sinti,,,,,,,,,,,*prasi̠nti,,,,,,,,,,,,*prosi̠nti,,*prosę̠̄ti,,*prosę̠̄tь,,,,*prosʼę̠̄tʼь,*prosʼā̠tʼь,,*prosʼā̠tʼь1,*pro̠sʼātʼь1,,,,,,,,,*prô̠sʼātʼь1,,,,*prô̠sʼātʼ,,,,,,,,,,,,,,,,,*prô̠sʼat,,*prô̠sʼɪt,,,,pro̠sʼɪt,pro̠sʼɪt,vgl. прошy̠,
прo̠сят (2),*pra̠sejnti,,,*pra̠sẹ̄nti,,,*pra̠sīnti,,,,,*prasī̠nti,,,,*prasi̠nti,,,,,,,,*prosi̠nti,,*prosę̠̄ti,,*prosę̠̄tь,,,,*prosʼę̠̄tʼь,*prosʼā̠tʼь,,*prosʼā̠tʼь1,*pro̠sʼātʼь1,,,,,,,,,*prô̠sʼātʼь1,,,,*prô̠sʼātʼ,,,,,,,,,,,,,,,,,*prô̠sʼat,,*prô̠sʼɪt,,,,pro̠sʼɪt,pro̠sʼɪt,vgl. прошy̠,
прошy̠,*pra̠sjān,,*pra̠sjēn,,*pra̠sjān,,,,,,,*prasjā̠n,,,,*prasja̠n,,,*prašja̠n,,,,,*prošjo̠n,,*prošjǭ̠,,,*prošjǫ̠,*prošǫ̠,,,*prošọ̠,,,,,,*prošu̠,,,,,,,,,,,,,,,,,,,*proṡu̠,,,,,,,,,,prʌṡu̠,,,,,prʌṡu̠,vgl. прo̠сят,
пчелa̠,*biče̠lā˙,,,,,,,,,,,*bičelā̠˙,,,,,,,,,,,,,,,,*bьčelā̠˙,*bьčela̠,,,*bʼьčela̠,,,*bʼь1čela̠,,,,,,,,,,,,,,*bʼčela̠,,,,,,,,*pʼčela̠,,,,,,,,,,,pʼčɪla̠,,,,,pʼčɪla̠,,
рa̠ло,*a̠r˙dla,,,,,,,,,,*rā̠˙dla,,,,,,,,,,*rā̠˙la,,,*rā̠˙lo,,,,,,,,,,,,,,*rā̠lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,*ra̠lo,,ra̠lə,,,,,ra̠lə,,
рa̠тай,*a̠r˙tā˙ju,,*a̠r˙tā˙ji,,,,,,,,*rā̠˙tā˙ji,,*rā̠˙tāji,,,,,,,,,,,,,,,*rā̠˙tājь,,,,,,,*rā̠˙tājь1,,,*rā̠tājь1,,,,,,,,,,,*rā̠tāj,,,,,,,,,,,,,,,,,*ra̠taj,,ra̠təj,,,,,ra̠təj,,
ревё̠м,*rjawe̠mu,,*rjewe̠mu,,,,,,,,,*rjewemu̠,,,,,,,*rʼjewemu̠,,,,,,,,,*rʼjewemъ̠,,,,*rʼewʼemъ̠,,,*rʼewʼemъ̠1,,*rʼewʼe̠mъ1,,,,,,,,,,,,*rʼewʼe̠m,,,,,,,*rʼevʼe̠m,,,,*rʼevʼo̠m,,,,,,,,rʼɪvʼo̠m,,,,,rʼɪvʼo̠m,vgl. рe̠ут,
рe̠ут,*rjawa̠ntu,,*rjewa̠ntu,,,,,,,,,*rjewantu̠,,,,,,,*rʼjewantu̠,,,,,*rʼjewontu̠,,*rʼjewǭtu̠,,*rʼjewǭtъ̠,,*rʼewǭtъ̠,,,*rʼewọ̄tъ̠,,*rʼewọ̄tъ̠1,,*rʼewọ̠̄tъ1,,*rʼewū̠tъ1,,,,*rʼeu̠tъ1,*rʼe̠wtъ1,,,,,rʼe̠ut,,,,,,,,,,,,,,,,,,,,,,,,rʼe̠ut,vgl. ревё̠м,
рe̠чь,*rekti,,,,,,,,,,,,,,*rekˊtˊi,,*retˊi,,,,,*reči,,,,,,*rečь,,,,*rʼečь,,,*rʼečь1,,,,,,,,,,,,,,*rʼeč,,,,,rʼe̠č,,,,,,,,,,,,,,,,,,,rʼe̠č,,
рo̠вный,*a̠rwinuju,,*a̠rwinuji,,,,,,,,*ra̠winuji,*rawi̠nuji,,,,,,,,,,,,*rowi̠nuji,,,,*rowь̠nъjь,,,,*rowʼь̠nъjь,,,*rowʼь̠1nъ2jь1,,*ro̠wʼь1nъ2jь1,,,,,,,,*rô̠wʼь1nъ2jь1,,,,*rô̠wʼnъ2j,,,,*rô̠wʼnoj,,,*rô̠vʼnoj,,,,,,*rô̠vnoj,,,,,,*rô̠vnəj,,,,ro̠vnəj,ro̠vnəj,,
рo̠г,*ragu,,,,,,,,,,,,,,,,,,,,,,,*rogu,,,,*rogъ,,,,,,,*rogъ1,,,,,,,,,,,,,,*rog,,,,,*ro̠g,,,ro̠k,,,,,,,,,,,,,,,,ro̠k,,
рокu̠тa (1),*arkū̠˙tā˙,,,,,,,,,,*rakū̠˙tā˙,,*rakū̠˙tā,,,,,*rakȳ̠˙tā,,,,,,*rokȳ̠˙tā,,,,,*rokȳ̠˙ta,,,,,,,,,*rokȳ̠ta,,,,,,,,,,,,,,,,,,,,,,,,,,*rokī̠ta,*rokʼī̠ta,*rokʼi̠ta,,rʌkʼi̠tə,,,,,rʌkʼi̠tə,,
